SITE CODE,Location Name,Latitude/Northings,Longitude/Eastings,EPSG Code,Survey Date,Survey Time,Site observations,Survey duration (hrs),Sampler group name *,Number in sampler group,No. of volunteers testing,Water type,Rainfall in last 7 days,Rainfall (mm) (optional),Water level or flow,Rate of Flow (optional),Air Temperature (deg C),Water Temperature (deg C),pH (pH units),Electrical Conductivity (µS/cm),Turbidity (NTUs),Available Phosphate (mg/L),Dissolved Oxygen (mg/L),Dissolved Oxygen (% sat),Faecal Coliforms (CFU/100mL),E. coli (CFU/100mL),Total Phosphate (mg/L),Nitrates (mg/L as N),Did you calibrate your EC meter?,Water Testing Notes/Issues,Photos uploaded,Verifyed by Ingrid,,,,,,,,,,,,,,,,,,
B2,"Bellinger B2 - Bellinger River at Cool Creek, Darkwood",-30.44673,152.61882,"WGS 84, Lat/Lon",12/6/19,1:00 PM,,1,Bellingen Riverwatch,,1,Fresh,Nil,,Medium,,17,10,6.5,90,7,0.04,5.1,45,,,,,false,,,,,,,,,,,,,,,,,,,,,
B2,"Bellinger B2 - Bellinger River at Cool Creek, Darkwood",-30.44673,152.61882,"WGS 84, Lat/Lon",10/9/19,11:00 AM,"Sunny, clear, birds singing. ",1,Bellingen Riverwatch,1,1,,Nil,,Low,,25,13,6.5,70,,0.05,5.6,53,,,,,false,"Tested by Sonya Kumar, uploaded by Amy Denshire. ",,,,,,,,,,,,,,,,,,,,
B2,"Bellinger B2 - Bellinger River at Cool Creek, Darkwood",,,,14/1/20,1:05 PM,"very low flow, humid, balmy, no wind, birds, mild fire odour",,Bellingen Riverwatch,,,,nil,,low,,24,24.5,7,150,20,0.02,8.2,99,,,,,no,,Yes &  standard January volunteer sampling results,,,,,,,,,,,,,,,,,,,
B2,"Bellinger B2 - Bellinger River at Cool Creek, Darkwood",,,,11/2/20,7:00 AM,"strong, large amount of water flowing, light rain, heavy showers, no visible pollution, birds, no odour, no algae",,Bellingen Riverwatch,,,,Heavy,250mm plus,Flood,,19,17,5.6,70,60,0.44,6,62,,,,,No,drive folder,Sonya Kumar,Yes,,,,,,,,,,,,,,,,,,
B2,"Bellinger B2 - Bellinger River at Cool Creek, Darkwood",-30.44673,152.61882,,11/3/20,1:40 PM,"We haven't seen this site before but the river is obviously very high and flowing fast,humid and cloudy,started to rain during sampling,no wildlife observed. There has been fire in the bush close to the river -some stretches of the access road has been dozed fairly recently and rubble and a few fallen trees cut and/or pushed aside. ",0.4,Bellingen Riverwatch,,2,Freshwater,Heavy,High,,,23.0,18.0,7,60,70,0.04,8.3,88,,,,Yes,70,,"[https://biocollect.ala.org.au/image?id=2020-03-BellingerB2-upstream.JPG, https://biocollect.ala.org.au/image?id=2020-03-BellingerB2-across.JPG, https://biocollect.ala.org.au/image?id=2020-03-BellingerB2-downstream.JPG]",Yes,,,,,,,,,,,,,,,,,,
B2,"Bellinger B2 - Bellinger River at Cool Creek, Darkwood",-30.44673,152.61882,,8/4/20,3:00 PM,,,Bellingen Riverwatch,1,,Fresh,Nil,0,Medium,,21,15,6.5,80,7,,8.1,80,,,,,No,Couldn't do Phosphate test due to not having all equipment.  ,"[https://biocollect.ala.org.au/image?id=IMG_3451.JPG, https://biocollect.ala.org.au/image?id=IMG_6277.JPG]",YES,,,,,,,,,,,,,,,,,,
B2,"Bellinger B2 - Bellinger River at Cool Creek, Darkwood",-30.44673,152.61882,,13/5/20,2:30 PM,Slight muckiness due to road works nearby,0.45,Bellingen Riverwatch,1,1,Fresh,Nil,0,Medium,,21.2,16.3,5.5,80,7,0.14,8.2,83,,,,,Yes,,"[https://biocollect.ala.org.au/image?id=IMG_6635.JPG, https://biocollect.ala.org.au/image?id=IMG_6636.JPG, https://biocollect.ala.org.au/image?id=1_IMG_6636.JPG]",Yes,,,,,,,,,,,,,,,,,,
B2,"Bellinger B2 - Bellinger River at Cool Creek, Darkwood",-30.44673,152.61882,,10/6/20,10:15 AM,Overcast. No pollution. Birds. No odour or algae. ,0.5,Bellingen Riverwatch,1,,Fresh,Moderate,,Medium,,21,15.9,6.5,80,10,0.15,6.1,62,,,,,,Need phosphate acid reagent. Tested by Sonya Kumar. Uploaded from Amy Denshire. DO & Av PO4 edited by Ingrid during veriication.,"[https://biocollect.ala.org.au/image?id=202006_B2_downstream.jpg, https://biocollect.ala.org.au/image?id=202006_B2_upstream.jpg]",Yes,,,,,,,,,,,,,,,,,,
B2,"Bellinger B2 - Bellinger River at Cool Creek, Darkwood",-30.44673,152.61882,,14/7/20,6:15 PM,"Windy, Fish and water bugs ",0.5,Bellingen Riverwatch,1,,Fresh,Light,1,Low,,14.9,12.9,5.2,80,10,0,6,57,,,,,,"Need bottles. Tested by Sonya, uploaded by Amy. ",,Yes,,,,,,,,,,,,,,,,,,
B2,"Bellinger B2 - Bellinger River at Cool Creek, Darkwood",-30.44673,152.61882,,11/11/20,10:30 AM,"Algae, some ash sediment, fine, birds, frogs",1.0,Bellingen Riverwatch,,,Fresh,Nil,,Low,,27.1,24.1,5.5,80,7,0.04,7.1,84,,,,,Yes,,,YES,,,,,,,,,,,,,,,,,,
B2,"Bellinger B2 - Bellinger River at Cool Creek, DarkwoodB2",-30.448278,152.617981,,12/4/21,10:30 AM,"River clear, minimal algae, no pollution, no fish observed, weather clear, sunny",1.5,Bellingen Riverwatch,,,Fresh,Light,5,Medium,,15,16.7,6,70,7,0,8.8,91,,,,,No,"Some brown/orange residue noted in the water, took a long time to settle. Did the oxygen testing twice. The first time the syringe moved too quickly and slipped between 8 and 10. Both times the reading seemed unusually high.","[https://biocollect.ala.org.au/image?id=IMG_3465.JPG, https://biocollect.ala.org.au/image?id=IMG_3466.JPG]",Yes,,,,,,,,,,,,,,,,,,
B2,"Bellinger B2 - Bellinger River at Cool Creek, Darkwood",-30.44673,152.61882,,10/5/21,12:20 PM,"Fine, clear",0.5,Bellingen Riverwatch,1,,Fresh,Light,56,Medium,,20.1,18.4,6.5,80,7,0,8.4,89,,,,,Yes,,,YES,,,,,,,,,,,,,,,,,,
B2,"Bellinger B2 - Bellinger River at Cool Creek, Darkwood",-30.44673,152.61882,,11/7/21,12:00 PM,Water very clear no pollution little algae,1,Bellingen Riverwatch,1,1,Fresh,Light,10,Low,,16.8,13.1,6,80,7,0.01,9.6,91,,,,,No,"Again, the location disappears after I download the photos and I have to enter it again. Then it disappeared again and I had to enter it a third time.","[https://biocollect.ala.org.au/image?id=IMG_3979.JPG, https://biocollect.ala.org.au/image?id=0_IMG_3980.JPG]",YES,,,,,,,,,,,,,,,,,,
B2,"Bellinger B2 - Bellinger River at Cool Creek, Darkwood",-30.44673,152.61882,,9/8/21,10:30 AM,,0.5,Bellingen Riverwatch,1,,Fresh,Light,30,Low,,16.3,13.7,6.5,80,7,0.01,9.6,93,,,,,No,My testing site is at Bellinger River not at mouth of Cool Creek but about 100m upstream.,"[https://biocollect.ala.org.au/image?id=IMG_4116.JPG, https://biocollect.ala.org.au/image?id=IMG_4117.JPG]",YES,,,,,,,,,,,,,,,,,,
B2,"Bellinger B2 - Bellinger River at Cool Creek, Darkwood",-30.44673,152.61882,,12/9/21,11:45:00 上午,,1,Bellingen Riverwatch,1,,Fresh,Light,1,Low,,26.4,19.5,7,90,0,0.02,8.7,96,,,,,Yes,,"[https://biocollect.ala.org.au/image?id=IMG_4276.JPG, https://biocollect.ala.org.au/image?id=0_IMG_4275.JPG]",YES,,,,,,,,,,,,,,,,,,
B2.1,"Bellinger B2.1 - Cool Creek, upstream of confluence with Bellinger River, Darkwood (near Bellinger 2 site)",-30.44704903,152.618149,"WGS 84, Lat/Lon",9/1/18,9:31 AM,"Hot humid clear sky no breeze,plenty of cicadas clean water ,lower level than last month .",1,Bellingen Riverwatch,1,1,,Light,26,Low,,33,21.5,7,100,7,0.17,6.8,78,,,,,true,Water level just high enough to submerge bottle on pole mid stream .,,,,,,,,,,,,,,,,,,,,
B2.1,"Bellinger B2.1 - Cool Creek, upstream of confluence with Bellinger River, Darkwood (near Bellinger 2 site)",-30.44704903,152.618149,"WGS 84, Lat/Lon",14/3/18,8:30 AM,"Water level up ,weeds are tall o long road edge .water spider present ,few bird noises ,no flies or midgees ,clear water .warmest recording so far for water .",0.5,Bellingen Riverwatch,1,1,Fresh,Moderate,25,Medium,,18,18,7,100,10,0.15,8,84,,,,,false,,,,,,,,,,,,,,,,,,,,,
B2.1,"Bellinger B2.1 - Cool Creek, upstream of confluence with Bellinger River, Darkwood (near Bellinger 2 site)",-30.44704903,152.618149,"WGS 84, Lat/Lon",10/4/18,1:00 PM,,0.5,Bellingen Riverwatch,1,1,Fresh,,,,,,18.5,7,109,7,0.22,8.2,88,170,,,,true,Tested by Sue. Uploaded by Ingrid,,,,,,,,,,,,,,,,,,,,
B2.1,"Bellinger B2.1 - Cool Creek, upstream of confluence with Bellinger River, Darkwood (near Bellinger 2 site)",-30.44704903,152.618149,"WGS 84, Lat/Lon",9/5/18,8:26 AM,"Clean clear water flowing ,level has dropped .",0.5,Bellingen Riverwatch,1,1,,Nil,,Low,,15,14,7,110,10,0.09,8.6,83,,,,,false,,,,,,,,,,,,,,,,,,,,,
B2.1,"Bellinger B2.1 - Cool Creek, upstream of confluence with Bellinger River, Darkwood (near Bellinger 2 site)",-30.44704903,152.618149,"WGS 84, Lat/Lon",11/6/18,2:00 PM,Last rainfall 1-7 days,,Bellingen Riverwatch,,,,,,,,25,21,6.5,70,7,0.13,6.2,70,,,,,false,Tested by Sonya Kumar. Uploaded by Amy Denshire. ,,,,,,,,,,,,,,,,,,,,
B2.1,"Bellinger B2.1 - Cool Creek, upstream of confluence with Bellinger River, Darkwood (near Bellinger 2 site)",-30.44704903,152.618149,"WGS 84, Lat/Lon",10/7/18,12:20 PM,,,Bellingen Riverwatch,,,,Nil,,Low,,14,9.5,7.5,,7,0.12,10.9,97,10,,,,false,Volunteer - Sue Lennox,,,,,,,,,,,,,,,,,,,,
B2.1,"Bellinger B2.1 - Cool Creek, upstream of confluence with Bellinger River, Darkwood (near Bellinger 2 site)",-30.44704903,152.618149,"WGS 84, Lat/Lon",13/11/18,4:00 PM,,,Bellingen Riverwatch,,1,,Light,,,,26,20,6.7,60,7,0.13,6.2,68,,,,,false,Volunteer - Sonya Kumar,,,,,,,,,,,,,,,,,,,,
B2.1,"Bellinger B2.1 - Cool Creek, upstream of confluence with Bellinger River, Darkwood (near Bellinger 2 site)",-30.44704903,152.618149,"WGS 84, Lat/Lon",12/12/18,11:00 AM,,,Bellingen Riverwatch,,1,,Light,,,,24,19,7,80,7,0.05,7.6,82,,,,,false,Volunteer Sonya Kumar. Uploaded by Amy Denshire. ,,,,,,,,,,,,,,,,,,,,
B2.1,"Bellinger B2.1 - Cool Creek, upstream of confluence with Bellinger River, Darkwood (near Bellinger 2 site)",-30.44704903,152.618149,"WGS 84, Lat/Lon",9/1/19,5:00 PM,,,Bellingen Riverwatch,,1,,,,,,,19,6.6,70,7,0.08,5.2,56,,,,,false,"Tested by Sonya, uploaded by Amy ",,,,,,,,,,,,,,,,,,,,
